id,code,loc_ru,loc_en,name_ru,name_en
511414,51141400,"Точ, Плщ, Век","Point, Poly, Vect","электростанции геотермальные",
511415,51141500,"Точ, Плщ, Век","Point, Poly, Vect","электростанции солнечные",
511421,51142100,"Лин, Плщ, Век","Line, Poly, Vect","гидроэлектростанции",
511422,51142200,"Лин, Век","Line, Vect","электростанции гидроаккумулир.",
511423,51142300,"Лин, Век","Line, Vect","электростанции приливные",
51151,51151000,"Точ",Point,"мельницы водяные",
51152,51152000,"Точ",Point,"мельницы ветряные",
511531,51153100,"Точ, Плщ","Point, Poly","мельницы с электроприв. с труб",
511532,51153200,"Точ, Лин, Плщ","Point, Line, Poly","мельницы с электропр. без труб",
5116,51160000,"Точ, Плщ","Point, Poly","лесопильни",
5117,51170000,"Точ",Point,"печи для обжига",
51211,51211000,"Плщ",Poly,"склады открытого типа",
512111,51211100,"Точ, Плщ, Век","Point, Poly, Vect","склады горючего ⚔",
51212,51212000,"Лин, Плщ, Век","Line, Poly, Vect","склады закрытого типа",
5122,51220000,"Точ, Плщ","Point, Poly","заправочные станции",
5123,51230000,"Точ",Point,"отдельные цистерны, газгольдеры ⚔",
51311,51311000,"Лин",Line,"нефтепроводы (наземные) ⚔",
51312,51312000,"Лин",Line,"газопроводы (подводные) ⚔",
51313,51313000,"Лин",Line,"продуктопроводы (подземные) ⚔",
5131631,51316310,"Век",Vect,"бункеры и будки смотровые ⚔",
5131632,51316320,"Век",Vect,"пункты контрольно-распредел. ⚔",
51316627,51316627,"Точ",Point,"электроколодцы подземные ⚔",
5132,51320000,"Лин",Line,"лэп",
513222,51322200,"Лин",Line,"лэп кабельные подземные ⚔",
513223,51322300,"Лин",Line,"лэп кабельные подводные ⚔",
5133,51330000,"Лин",Line,"линии связи (подводные) ⚔",
5134,51340000,"Лин",Line,"лотки для спуска леса",
5135,51350000,"Лин",Line,"дюкеры на трубопроводах ⚔",
5141,51410000,"Точ",Point,"капит. сооружения башен. типа",
51411,51411000,"Точ",Point,"градирни",
5142,51420000,"Точ",Point,"заводские и фабричные трубы",
51431,51431000,"Точ",Point,"вышки легкого типа",
51432,51432000,"Точ",Point,"вышки буровые",
514321,51432100,"Точ",Point,"вышки нефтяные",
514322,51432200,"Точ",Point,"вышки газовые",
5144,51440000,"Точ",Point,"ветряные двигатели",
5145Poly,51450000,"Плщ",Poly,"станции обслуж. трубопроводов ⚔",
5145Vect,51450000,"Век",Vect,"станции обслуживания труб. ⚔",
51461,51461000,"Точ, Плщ","Point, Poly","злектрические подстанции ⚔",
5147,51470000,"Век",Vect,"опоры на лэп",
5148,51480000,"Точ, Плщ","Point, Poly","отстойники",
515,51500000,"Точ, Лин, Плщ, Век","Point, Line, Poly, Vect","здания пром. и с/х назнач.",
5171,51710000,"Плщ",Poly,"свалки",
521,52100000,"Точ, Лин, Плщ, Век","Point, Line, Poly, Vect","сельскохоз. предприятия",
523,52300000,"Плщ, Век","Poly, Vect","загоны для скота",
5311,53110000,"Точ, Плщ","Point, Poly","аэропорты, аэродромы",
5313,53130000,"Лин, Плщ","Line, Poly","взлетно-посадочные полосы ⚔",
5314,53140000,"Точ, Лин, Плщ","Point, Line, Poly","посадочные площадки на суше ⚔",
53151,53151000,"Лин",Line,"специальные дорожки ⚔",
53152,53152000,"Плщ",Poly,"специальн. площ. для самолетов ⚔",
5316,53160000,"Точ, Плщ","Point, Poly","гидроаэродромы ⚔",
5317,53170000,"Точ",Point,"посадочные площадки на воде ⚔",
5318,53180000,"Точ, Лин","Point, Line","участки дорог для взл. самолет. ⚔",
5321,53210000,"Плщ",Poly,"военные базы и объекты ⚔",
53211,53211000,"Плщ",Poly,"базы вмф ⚔",
53212,53212000,"Плщ",Poly,"базы ввс ⚔",
53221,53221000,"Точ",Point,"блиндажи ⚔",
5322Point,53220000,"Точ",Point,"крепости, форты, укрепления (кс) ⚔",
5322Poly,53220000,"Плщ",Poly,"крепости, форты, укрепления ⚔",
5323,53230000,"Плщ",Poly,"морские порты, гавани",
5324,53240000,"Плщ",Poly,"речные порты",
5331,53310000,"Точ, Лин, Плщ","Point, Line, Poly","радиостанции ⚔",
